植物中文名,中文学名,拉丁名,花期
美丽枕果榕,毛枕果榕,Ficus drupacea Thunb. var. pubescens (Roth) Corner,5-6月
非洲楝,非洲楝,Khaya senegalensis (Desr.) A. Juss.,4-6月
水石榕,水石榕,Elaeocarpus hainanensis Oliv.,6-7月
大琴叶榕,大琴叶榕,Ficus lyrata,2-3月
朴树,朴,Celtis sinensis Pers.,4-5月
吊瓜树,吊瓜树,Kigelia africana (Lam.) Benth.,4-5月
海南蒲桃,海南蒲桃,Syzygium hainanense H. T. Chang & R. H. Miao,3-5月
安石榴,石榴,Punica granatum L.,5-6月
黄金榕,黄金榕,Ficus microcarpa 'Golden Leaves',5-6月
刺桐,刺桐,Erythrina variegata L.,3-4月
鸡冠刺桐,鸡冠刺桐,Erythrina crista-galli L.,4-10月
台湾相思,台湾相思,Acacia confusa Merr.,3-10月
大叶相思,大叶相思,Acacia auriculiformis A. Cunn. ex Benth.,1-5月
马占相思,马占相思,Acacia mangium Willd.,3-6月
串钱柳,垂枝红千层,Melaleuca viminalis Byrnes,4-8月
红千层,红千层,Callistemon rigidus R. Br.,6-8月
白千层,白千层,Melaleuca cajuputi subsp. cumingiana (Turcz.) Barlow,6-12月
降香黄檀,降香,Dalbergia odorifera T. Chen,3-4月
糖胶树,糖胶树,Alstonia scholaris (L.) R. Br.,6-11月
铁冬青,铁冬青,Ilex rotunda Thunb.,4-6月
南洋杉,南洋杉,Araucaria cunninghamii Mudie,10-12月
紫薇,紫薇,Lagerstroemia indica L.,6-9月
大花紫薇,大花紫薇,Lagerstroemia speciosa (L.) Pers.,5-7月
龙眼,龙眼,Dimocarpus longan Lour.,3-4月
荔枝,荔枝,Litchi chinensis Sonn.,2-4月
阴香,阴香,Cinnamomum burmanni (Nees et T. Nees) Blume,3-4月
肉桂,肉桂,Cinnamomum cassia (L.) D. Don,6-8月
高山榕,高山榕,Ficus altissima Bl.,5-7月
细叶榕,榕树,Ficus microcarpa L. f.,5-6月
黄葛榕,黄葛树,Ficus virens Aiton,3-4月
亚里垂榕,亚里垂榕,Ficus binnendijkii 'alii',4-7月
斜叶榕,斜叶榕,Ficus tinctoria G. Forst. subsp. gibbosa (Bl.) Corner,4-6月
五指毛桃,粗叶榕,Ficus hirta Vahl,4-5月
黄槿,黄槿,Talipariti tiliaceum (L.) Fryxell,全年
发财树,光瓜栗,Pachira glabra Pasq.,5-11月
白兰,白兰,Michelia alba DC.,4-9月
紫玉兰,紫玉兰,Yulania liliflora (Desr.) D. L. Fu,3-4月
白玉兰,玉兰,Yulania denudata (Desr.) D. L. Fu,2-3月
荷花玉兰,荷花木兰,Magnolia grandiflora L.,5-6月
波罗蜜,波罗蜜,Artocarpus heterophyllus Lam.,2-3月
红桂木,桂木,Artocarpus parvus Gagnep.,4-5月
印度紫檀,紫檀,Pterocarpus indicus Willd.,4-5月
枫香,枫香树,Liquidambar formosana Hance,3-4月
阿江榄仁,阿江榄仁,Terminalia arjuna (Roxb. ex DC.) Wight et Arn.,4-5月
大王椰子,大王椰,Roystonea regia (Kunth) O.F. Cook,4-6月
三角椰子,三角椰,Dypsis decaryi (Jum.) Beentje & J. Dransf.,7-9月
鱼骨葵,鱼骨葵,Arenga tremula (Blanco) Becc.,5-7月
蒲葵,蒲葵,Livistona chinensis (Jacq.) R. Br. ex Mart.,4-5月
假槟榔,假槟榔,Archontophoenix alexandrae (F. Muell.) H. Wendl. et Drude,5-6月
黄粱木,团花,Neolamarckia cadamba (Roxb.) Bosser,6-7月
鱼尾葵,鱼尾葵,Caryota maxima Blume ex Mart.,5-7月
短序鱼尾葵,短穗鱼尾葵,Caryota mitis Lour.,5-7月
狐尾椰子,狐尾椰,Wodyetia bifurcata A. K. Irvine,6-8月
丝葵,丝葵,Washingtonia filifera (Lindl. ex Andre) H. Wendl.,5-7月
桃,桃,Prunus persica (L.) Batsch,3-4月
蒲桃,蒲桃,Syzygium jambos (L.) Alston,3-4月
洋蒲桃,莲雾,Syzygium samarangense (Bl.) Merr. et Perry,3-5月
枸骨冬青,枸骨,Ilex cornuta Lindl. et Paxton,4-5月
海南红豆,海南红豆,Ormosia pinnata (Lour.) Merr.,5-6月
大花第伦桃,大花五桠果,Dillenia turbinata Finet et Gagnep.,6-8月
南洋楹,南洋楹,Falcataria falcata (L.) Greuter & R. Rankin,5-6月
芒果,杧果,Mangifera indica L.,2-3月
青果榕,杂色榕,Ficus variegata Bl. var. chlorocarpa (Benth.) King,4-7月
越南榆,越南榆,Ulmus lanceifolia Roxb.,2-3月
番石榴,番石榴,Psidium guajava L.,3-5月
鸡蛋花,白花鸡蛋花,Plumeria alba L.,5-10月
红花鸡蛋花,鸡蛋花,Plumeria rubra L.,5-10月
对叶榕,对叶榕,Ficus hispida L. f.,4-5月
黄花夹竹桃,黄花夹竹桃,Thevetia peruviana (Pers.) K. Schum.,3-12月
凤凰木,凤凰木,Delonix regia (Boj. ex Hook.) Raf.,5-7月
椰子,椰子,Cocos nucifera L.,全年
尾叶桉,尾叶桉,Eucalyptus urophylla S. T. Blake,4-9月
柠檬桉,柠檬桉,Eucalyptus citriodora Hook. f.,4-5月
腊肠树,腊肠树,Cassia fistula L.,6-8月
毛麻楝,麻楝,Chukrasia tabularis A. Juss.,4-5月
银柴,银柴,Aporosa dioica (Roxb.) Müll.Arg.,3-5月
毛黄肉楠,毛黄肉楠,Actinodaphne pilosa (Lour.) Merr.,3-4月
布渣叶,破布叶,Microcos paniculata L.,6-10月
火焰树,火焰树,Spathodea campanulata Beauv.,3-6月
中华灰莉,灰莉,Fagraea ceilanica Thunb.,4-8月
假苹婆,假苹婆,Sterculia lanceolata Cav.,4-5月
山乌桕,山乌桕,Triadica cochinchinensis Lour.,4-6月
土密树,土蜜树,Bridelia tomentosa Bl.,4-8月
铁刀木,铁刀木,Senna siamea (Lam.) H. S. Irwin et Barneby,10月至翌年1月
水翁,水翁蒲桃,Syzygium nervosum DC.,6-7月
楝叶吴茱萸,楝叶吴萸,Tetradium glabrifolium (Champ. ex Benth.) T. G. Hartley,5-6月
鸭脚木,鹅掌柴,Heptapleurum heptaphyllum (L.) Y. F. Deng,11月至翌年2月
银合欢,银合欢,Leucaena leucocephala (Lam.) de Wit,4-7月
盐肤木,盐肤木,Rhus chinensis Mill.,7-9月
野漆树,野漆,Toxicodendron succedaneum (L.) Kuntze,4-5月
人面子树,人面子,Dracontomelon duperreanum Pierre,4-5月
山茶花,山茶,Camellia japonica L.,1-4月
落羽杉,落羽杉,Taxodium distichum (L.) Rich.,3-4月
池杉,池杉,Taxodium distichum var. imbricarium (Nutt.) Croom,3-4月
马尾松,马尾松,Pinus massoniana Lamb.,4-5月
湿地松,湿地松,Pinus elliottii Engelm.,3-4月
罗汉松,罗汉松,Podocarpus macrophyllus (Thunb.) D. Don,4-5月
香樟,樟,Camphora officinarum Nees,4-5月
潺槁木姜子,潺槁木姜子,Litsea glutinosa (Lour.) C. B. Rob.,8-9月
假柿木姜子,假柿木姜子,Litsea monopetala (Roxb.) Pers.,9-10月
杨桃,杨桃,Averrhoa carambola L.,4-12月
红果仔,红果仔,Eugenia uniflora L.,4-5月
毛果杜英,毛果杜英,Elaeocarpus rugosus Roxb.,4-5月
木棉,木棉,Bombax ceiba L.,3-4月
美丽异木棉,美丽异木棉,Ceiba speciosa (A.St.-Hil.) Ravenna,9-12月
黄花风铃木,黄花风铃木,Handroanthus chrysanthus (Jacq.) S. O. Grose,3-4月
秋枫,秋枫,Bischofia javanica Bl.,4-5月
血桐,血桐,Macaranga tanarius var. tomentosa (Blume) Müll. Arg.,4-7月
枇杷,枇杷,Eriobotrya japonica (Thunb.) Lindl.,10-12月
红花洋紫荆,红花羊蹄甲,Bauhinia blakeana Dunn,11月至翌年3月
洋紫荆,白花宫粉羊蹄甲,Bauhinia variegata var. candida (Roxb.) Voigt,3-5月
宫粉洋紫荆,宫粉羊蹄甲,Bauhinia variegata L.,3-5月
木麻黄,木麻黄,Casuarina equisetifolia L.,4-5月
构树,构,Broussonetia papyrifera (L.) L'Hér. ex Vent.,4-5月
垂叶榕,垂叶榕,Ficus benjamina L.,5-6月
橡胶榕,印度榕,Ficus elastica Roxb. ex Hornem.,5-7月
桑,桑,Morus alba L.,4-5月
柠檬,柠檬,Citrus limon (L.) Burm. f.,4-5月
柚子,柚,Citrus maxima (Burm.) Merr.,4-5月
黄皮,黄皮,Clausena lansium (Lour.) Skeels,4-5月
九里香,九里香,Murraya exotica L.,4-8月
簕欓花椒,簕欓花椒,Zanthoxylum avicennae (Lam.) DC.,3-4月
米仔兰,米仔兰,Aglaia odorata Lour.,5-12月
苦楝,楝,Melia azedarach L.,4-5月
桂花,木樨,Osmanthus fragrans (Thunb.) Lour.,9-10月
猫尾木,猫尾木,Markhamia stipulata (Wall.) Seem. ex K. Schum.,5-9月
海南菜豆树,海南菜豆树,Radermachera hainanensis Merr.,5-9月
红刺露兜,扇叶露兜树,Pandanus utilis Borg.,6-7月
粉丹竹,蓉城竹,Phyllostachys bissetii McClure,/
中华无忧树,中国无忧花,Saraca dives Pierre,3-5月
山苍子,山鸡椒,Litsea cubeba (Lour.) Pers.,2-3月
豺皮樟,豺皮樟,Litsea rotundifolia Hemsl. var. oblongifolia (Nees) Allen,5-7月
海桐花,海桐,Pittosporum tobira (Thunb.) Ait.,3-5月
木荷,木荷,Schima superba Gardn. et Champ.,6-8月
黄牛木,黄牛木,Cratoxylum cochinchinense (Lour.) Bl.,5-7月
山杜英,山杜英,Elaeocarpus sylvestris (Lour.) Poir.,6-7月
白楸,白楸,Mallotus paniculatus (Lam.) Muell. Arg.,3-5月
海红豆,海红豆,Adenanthera pavonina L.,5-6月
杨梅,杨梅,Myrica rubra (Lour.) S. et Zucc.,3-4月
山黄麻,山黄麻,Trema tomentosa (Roxb.) Hara,5-6月
水同木,水同木,Ficus fistulosa Reinw. ex Bl.,5-7月
变叶榕,变叶榕,Ficus variolosa Lindl. ex Benth.,5-6月
三叉苦,三桠苦,Melicope pteleifolia (Champ. ex Benth.) Hartley,4-6月
鸦胆子,鸦胆子,Brucea javanica (L.) Merr.,4-5月
黄槐决明,黄槐,Senna surattensis (Burm. f.) H. S. Irwin et Barneby,几乎全年
二乔玉兰,二乔玉兰,Yulania × soulangeana (Soul.-Bod.) D. L. Fu,3-4月
木芙蓉,木芙蓉,Hibiscus mutabilis L.,8-10月
菩提榕,菩提树,Ficus religiosa L.,3-4月
千层金,溪畔白千层,Melaleuca bracteata F.Muell.,6-9月
小叶榄仁,小叶榄仁,Terminalia neotaliala Capuron,3-6月
